id,questions,answer,source
1,未登記工廠申請納管的截止日期是哪一天？,納管申請日期至109年3月20日至111年3月19日止。,3.pdf
2,新修正之不動產說明書應記載及不得記載事項，生效日期為何？,自中華民國104年10月1日生效。,4.jpg
3,進行注射劑目視檢查時，檢查點的最低照明亮度應維持在多少範圍？,應維持 2000~3750 勒克司 (Lux)。,1.pdf
4,納管輔導金的計算方式中，廠地面積在300平方公尺以內應繳交多少金額？,2萬元。,3.pdf
5,不動產經紀人在不動產說明書上的簽章方式有何限制？,須以「簽名」或「蓋章」擇一為之，不得以電腦列印方式替代。,4.jpg
6,依據中華藥典，檢查注射劑時在每個背景下應進行大約幾秒的檢查？,每個背景下進行大約五秒檢查。,1.pdf
7,汽車修理業或倉庫是否可以辦理未登記工廠納管？,不行，兩者皆非屬工廠管理輔導法範疇。,3.pdf
8,不動產說明書是否必須指派不動產經紀人簽章？其目的為何？,是，簽章可使經紀人對內容履行注意及查證義務，並對記載事項負責。,4.jpg
9,關於注射劑檢查，何謂「內在」或「固有」粒子？,來自製程內（如操作設備、包裝材料、密封墊圈等）或與產品配方組成有關的粒子。,1.pdf
10,申請特定工廠登記時，若要提出用電證明，須為哪個日期之前的證明文件？,105年5月19日前。,3.pdf
11,進行注射劑檢查時，應使用哪兩種顏色的背景？,黑色背景和白色背景。,1.pdf
