q_id,questions,answer,source
1,國家太空中心影像處理中心的「校正流程」分為哪兩種？其目的為何？,分為「輻射校正」與「幾何校正」。輻射校正是為了修正大氣或儀器偏差，還原真實光強度；幾何校正則是搭配地形模型校準地理座標，使影像能與地圖精準重疊。,data_02.txt
2,為了解決人力流失，衛福部長石崇良提出的首波改革方向為何？,針對醫療人力進行盤點，並對「直美」現象設限，企圖將全民健保資源集中投放在最需要的急重難症醫療缺口上。,data_03.txt
3,引發伊朗2025年底大規模抗爭的經濟與環境主因有哪些？,主要原因包括：1. 官方貨幣里亞爾貶值、國內通膨率超過40%、民生物價飆漲（如牛奶、雞蛋漲幅逾1倍）；2. 極端氣候引發空前乾旱（累積降雨量僅往年14%）與缺水危機；3. 國際制裁與石油禁運的影響。,data_01.txt
4,針對伊朗抗爭中出現的「復辟巴勒維王朝」口號，文本如何解讀其背後的民意？,這些口號並非代表民眾真心懷念君主統治或擁戴前王儲芮沙．巴勒維，而是一種情緒性的宣洩，象徵對1979年革命與現行伊朗伊斯蘭共和國體制的全面否定與挑釁。,data_01.txt
5,何謂 OSINT（公開來源情報）？其運作方式為何？,OSINT 是指從公開或商業可用資訊（如 Google Earth、商用衛星圖資、新聞畫面）中獲取的情報。透過比對地形地貌、車輛編號與衛星影像，可解析出軍事設施與動態。,data_05.txt
6,透過高解析度衛星影像監測「油槽」，可以分析出什麼具體情報？,透過高解析度影像觀察油槽上方陰影的深淺，利用三維分析可判斷油槽是滿油還是空槽，長期監測有助於研判敵方的戰備儲油狀況。,data_05.txt
7,為何美國與海灣盟邦（如沙烏地阿拉伯、阿聯等）對於軍事介入伊朗持保留態度？,因為擔憂伊朗局勢失控會引發大規模難民危機、重燃教派衝突，並癱瘓荷姆茲海峽的石油運輸（影響全球20%石油運輸量）；此外，美國受限於伊拉克戰爭的歷史教訓，擔心再次陷入泥淖。,data_01.txt
8,根據統計，二戰後全球執行了多少次核試驗？主要地點特徵為何？,自1945年以來，全球至少執行了2056次核試驗。地點大多選在遠離主要人口中心的偏遠地帶或離島（如內華達州、馬紹爾群島、哈薩克、法屬玻里尼西亞等）。,data_04.txt
9,台灣參與的「守望亞洲（Sentinel Asia）」計畫主要功能為何？並舉例其應用。,該計畫結合擁有衛星資源的單位，在亞太地區發生災害時調度衛星協助救災。例如2023年菲律賓油輪沉沒時協助追蹤油汙，或2024年日本能登半島地震時分析地貌變化與災損。,data_02.txt
10,文本中提到的「健保兆元時代」面臨哪些挑戰？,儘管健保規模已近中央總預算三分之一，但仍需追趕超高齡人口增長速度、高科技醫療器材與新藥價格的飆漲。,data_03.txt
11,伊朗政府在2026年1月的鎮壓行動中採取了哪些具體手段？,伊朗政府切斷全國網際網路與行動通訊（包含干擾Starlink訊號）、動員安全部隊與民兵（巴斯基）進行武力鎮壓、在城市製造恐懼並封鎖聯外幹道進行清鄉，甚至扣留受難者遺體以威脅家屬。,data_01.txt
12,預計於2027年和2029年發射的「福衛九號」，其技術特色是什麼？,福衛九號採用「全天候高解析度微波遙測技術」（SAR），具備穿透雲層的能力，即使在夜晚或厚雲覆蓋下仍能清晰成像，可與光學遙測互補。,data_02.txt
13,馬紹爾群島的「魯尼特圓頂（Runit Dome）」目前面臨什麼危機？,該圓頂覆蓋了大量放射性碎片，但目前已出現結構弱化跡象，在海平面上升的壓力下可能產生裂縫，導致核廢料外洩。,data_04.txt
14,「福衛八號」與過去衛星相比，在自主研發上有何突破？,「福衛八號」是台灣第一個以建構自主產業鏈為核心目標的衛星星系，整體系統84%的關鍵元件、57項核心技術（如結構材料、鏡頭）皆由國內研製。,data_02.txt
15,台灣醫院急重症人力的缺口從「四大皆空」演變至「六大皆空」，是指哪六個科別？,內科、外科、婦產科、兒科、急診，以及新增的神經內科（因24小時取栓過勞引發出走潮）。,data_03.txt
16,針對國安需求，為何台灣不能單純依賴向美國購買衛星影像，而需自製衛星？,因為衛星取像有排程優先順序，美國衛星必然優先服務其本國需求或戰略目標（如長程飛彈監測），台灣在緊急或特定區域（如短程飛彈部署）的情蒐需求未必能被排入或即時取得。,data_05.txt
17,根據文本，何謂醫療界的「直美（Chokubi）」現象？,源自日本的名詞，指醫學生畢業或年輕醫師不進入醫院接受專科訓練，而是直接進入醫美市場就業的潮流。,data_03.txt
18,放射性同位素「鍶-90」與「鈽-239」對人體的危害分別為何？,「鍶-90」半衰期28年，會在骨骼積聚導致腫瘤與白血病；「鈽-239」半衰期長達2.44萬年，攝取微量即可造成骨骼及肺部腫瘤。,data_04.txt
19,為何2026年被視為「新一輪核武威脅時代」的關鍵時間點？,因為美俄之間最後一份《新削減戰略武器條約》將於2026年2月到期，且全球主要擁核國皆計畫擴增核武庫並退出軍備控制協議。,data_04.txt
20,「福衛八號」星系建置完成後，對台灣的國安監測能力有何具體提升？,福衛八號星系完成後，每天通過台灣上空的次數將從每兩天1次提升至每天3次（再訪率提高），且解析度將朝0.7公尺甚至0.5公尺邁進，能更精細地辨識軍事動態。,data_05.txt
